price,numBedrooms,numBathrooms,propertySize,total_images,longitude,latitude,ber_rating,featuredLevel,propertyType,sellerType
230000,3,3,104.0,13.0,-6.24213,53.359248,D2,premium,Semi-D,UNBRANDED_AGENT
195000,3,1,60.0,12.0,-8.431813,51.892061,E2,premium,Bungalow,BRANDED_AGENT
300000,2,1,51.0,17.0,-6.424484,53.351762,C2,premium,Apartment,BRANDED_AGENT
190000,3,3,99.0,33.0,-6.13376,53.424022,E2,premium,Semi-D,BRANDED_AGENT
180000,3,3,142.0,24.0,-6.263961,53.326243,C2,premium,Semi-D,BRANDED_AGENT
310000,5,3,306.0,31.0,-9.038492,53.436362,C3,premium,Detached,BRANDED_AGENT
395000,4,2,163.0,12.0,-7.116086,52.261862,D2,premium,Detached,BRANDED_AGENT
285000,3,2,90.0,9.0,-6.137235,53.44425,B3,premium,Bungalow,BRANDED_AGENT
200000,4,1,97.0,13.0,-6.258385,53.355804,E2,premium,Bungalow,BRANDED_AGENT
170000,2,1,52.0,17.0,-6.226479,53.28457,C1,premium,End of Terrace,BRANDED_AGENT
525000,4,4,199.0,14.0,-6.234938,53.286633,C2,premium,Detached,BRANDED_AGENT
560000,3,3,113.0,20.0,-6.2066249,53.6132698,C3,premium,Apartment,PRIVATE_USER
285000,3,2,96.0,26.0,-8.635804,52.653675,E1,premium,Bungalow,BRANDED_AGENT
179000,3,1,75.0,20.0,-9.510951,52.064344,E2,premium,Terrace,BRANDED_AGENT
345000,4,3,143.0,26.0,-6.924776,53.451898,C1,premium,Detached,BRANDED_AGENT
690000,3,2,220.0,11.0,-8.756068,51.73679,B3,premium,Detached,BRANDED_AGENT
255000,6,3,261.0,16.0,-8.500053,51.896854,E1,premium,Detached,BRANDED_AGENT
345000,2,1,65.0,20.0,-6.420213,53.386837,C1,premium,Terrace,BRANDED_AGENT
220000,3,2,90.0,28.0,-6.190329,53.273076,A3,premium,Terrace,BRANDED_AGENT
315000,3,1,86.0,26.0,-6.23108,53.354562,C2,premium,Terrace,BRANDED_AGENT
200000,3,1,80.0,35.0,-6.366047,52.871834,C3,premium,Townhouse,BRANDED_AGENT
350000,3,2,152.0,23.0,-6.247465,53.363016,C1,premium,Detached,BRANDED_AGENT
325000,2,1,63.0,17.0,-7.167363,52.165109,C2,premium,Apartment,BRANDED_AGENT
320000,3,2,82.0,17.0,-6.672055,53.393487,C1,premium,Terrace,BRANDED_AGENT
450000,3,1,80.0,16.0,-9.293566,53.849928,C2,premium,Terrace,BRANDED_AGENT
229000,2,2,68.0,15.0,-9.296256,53.862634,C2,premium,Duplex,BRANDED_AGENT
600000,4,4,172.0,37.0,-6.263508,53.363749,D1,premium,Semi-D,BRANDED_AGENT
690000,5,3,197.0,15.0,-6.685645,53.646932,C3,premium,Detached,BRANDED_AGENT
285000,3,1,67.0,25.0,-6.689447,53.63538,D1,premium,Bungalow,BRANDED_AGENT
360000,3,2,106.0,34.0,-9.701195,52.257269,B3,premium,Bungalow,BRANDED_AGENT
450000,4,3,124.0,31.0,-6.241599,53.343243,SI_666,premium,Semi-D,BRANDED_AGENT
240000,3,2,237.0,24.0,-7.61564,52.095287,D1,premium,Semi-D,BRANDED_AGENT
329000,4,4,238.0,34.0,-7.779842,52.103241,D1,premium,Detached,BRANDED_AGENT
395000,4,2,104.0,28.0,-6.197569,53.40216,D1,premium,Detached,BRANDED_AGENT
240000,4,1,110.0,14.0,-6.3220592,53.3129023,E1,premium,Detached,BRANDED_AGENT
310000,3,3,136.0,15.0,-6.226621,53.295864,A2,premium,Detached,BRANDED_AGENT
350000,2,1,41.0,24.0,-6.671744,53.660831,B3,premium,Terrace,BRANDED_AGENT
160000,2,2,63.0,15.0,-6.232362430072044,53.34398446052439,A3,premium,Apartment,BRANDED_AGENT
295000,2,3,76.0,9.0,-6.152948,53.487847,B2,premium,Terrace,BRANDED_AGENT
345000,3,3,265.0,7.0,-8.935989,52.842014,A2,premium,End of Terrace,BRANDED_AGENT
390000,4,3,138.0,30.0,-8.660311,52.633206,C2,premium,Semi-D,BRANDED_AGENT
295000,3,3,98.0,21.0,-6.41678,53.350561,D1,premium,End of Terrace,BRANDED_AGENT
450000,3,3,117.0,15.0,-9.506761,52.061168,G,premium,Semi-D,BRANDED_AGENT
230000,2,1,99.0,19.0,-9.645485,52.09102,D1,premium,Bungalow,BRANDED_AGENT
360000,5,2,195.0,19.0,-6.719087285080548,53.605399726166496,C3,premium,Detached,BRANDED_AGENT
1250000,5,4,312.0,29.0,-8.481585,54.28837,C1,premium,Semi-D,BRANDED_AGENT
250000,2,2,69.0,50.0,-8.467653,52.858731,B3,premium,Apartment,UNBRANDED_AGENT
350000,1,1,51.0,26.0,-6.279413,53.286564,D2,premium,Apartment,BRANDED_AGENT
245000,4,3,132.0,15.0,-9.090024,53.276541,C1,premium,Semi-D,BRANDED_AGENT
149000,3,2,69.0,15.0,-9.089114,53.267244,C2,premium,Semi-D,BRANDED_AGENT
1250000,5,3,200.0,20.0,-6.232038,53.333728,XXX,premium,Detached,BRANDED_AGENT
425000,4,3,344.0,19.0,-6.232038,53.333728,A2,premium,Detached,BRANDED_AGENT
485000,4,4,170.0,9.0,-8.47738,51.908676,F,premium,Detached,BRANDED_AGENT
345000,2,1,85.0,7.0,-8.646637,51.768128,G,premium,Terrace,BRANDED_AGENT
335000,3,3,94.0,20.0,-6.3961311,53.9218138,C3,premium,Terrace,BRANDED_AGENT
445000,4,3,172.0,13.0,-8.428199,51.873164,B3,premium,Semi-D,BRANDED_AGENT
240000,1,1,45.0,20.0,-7.109165,52.204932,C1,premium,Apartment,BRANDED_AGENT
385000,3,2,115.0,21.0,-6.249871538883383,53.3573195019294,SI_666,premium,Semi-D,BRANDED_AGENT
400000,3,1,120.0,16.0,-9.435443,52.846048,SI_666,premium,Terrace,BRANDED_AGENT
465000,3,3,125.0,60.0,-8.625316,52.670496,SI_666,premium,Semi-D,BRANDED_AGENT
530000,4,3,87.0,20.0,-8.645779,52.633547,D2,premium,Semi-D,BRANDED_AGENT
545000,4,3,129.0,15.0,-6.330566,53.270754,C3,premium,Detached,BRANDED_AGENT
260000,2,2,65.0,3.0,-6.462498885578981,52.32500830205734,A3,premium,Apartment,BRANDED_AGENT
300000,2,1,58.0,15.0,-6.194328,53.29281,D2,premium,Apartment,BRANDED_AGENT
425000,4,1,116.0,51.0,-6.259572,52.724748,D2,premium,Bungalow,BRANDED_AGENT
395000,5,4,180.0,28.0,-6.391642,52.667532,B2,premium,Detached,BRANDED_AGENT
395000,5,3,225.0,13.0,-6.2992,53.277316,C2,premium,Detached,BRANDED_AGENT
170000,2,1,80.0,25.0,-6.201759,53.450879,A2,premium,Apartment,BRANDED_AGENT
375000,2,1,60.0,13.0,-7.8913,54.045315,D2,premium,Apartment,BRANDED_AGENT
250000,4,3,117.0,15.0,-7.742764,54.126697,D2,premium,Semi-D,BRANDED_AGENT
275000,5,3,198.0,15.0,-6.20896,53.320758,E2,premium,Detached,BRANDED_AGENT
150000,3,1,88.0,20.0,-6.222298,53.332515,D2,premium,Terrace,BRANDED_AGENT
380000,5,3,123.0,0.0,-8.768721306862489,52.748299556753125,A2,premium,Terrace,BRANDED_AGENT
265000,3,2,116.0,10.0,-8.592168,52.64621,D1,premium,Semi-D,BRANDED_AGENT
400000,4,1,160.0,17.0,-6.3210814,53.3092654,E2,premium,Detached,BRANDED_AGENT
210000,2,1,62.0,33.0,-7.50761,52.513131,C2,premium,Apartment,BRANDED_AGENT
360000,4,2,204.0,13.0,-6.205906,53.392791,D2,premium,Semi-D,BRANDED_AGENT
325000,4,2,129.0,15.0,-6.221498,53.392835,C2,premium,Detached,BRANDED_AGENT
335000,3,2,90.0,18.0,-6.131326,53.443996,C2,premium,Detached,BRANDED_AGENT
305000,3,3,127.0,28.0,-6.17988,53.446317,B3,premium,Terrace,BRANDED_AGENT
312000,3,3,125.0,26.0,-6.098331,52.972584,E1,premium,Semi-D,BRANDED_AGENT
265000,2,1,60.0,25.0,-7.150584,52.167461,D2,premium,Apartment,BRANDED_AGENT
285000,2,2,79.0,34.0,-7.506179,53.268962,D2,premium,Apartment,BRANDED_AGENT
390000,4,3,163.0,15.0,-7.507525,53.265982,F,premium,Detached,BRANDED_AGENT
1600000,5,5,310.0,23.0,-6.238574,53.330873,SI_666,premium,End of Terrace,BRANDED_AGENT
1500000,4,4,269.0,19.0,-8.61657,51.884623,C2,premium,Detached,BRANDED_AGENT
285000,2,2,43.0,5.0,-6.2382959,53.2705646,C3,premium,Apartment,BRANDED_AGENT
395000,4,3,135.0,4.0,-8.400895797602345,51.94105806529302,A3,premium,Terrace,BRANDED_AGENT
240000,2,1,66.0,4.0,-8.400895797602345,51.94105806529302,A3,premium,Terrace,BRANDED_AGENT
260000,2,2,64.0,6.0,-8.400895797602345,51.94105806529302,A3,premium,Apartment,BRANDED_AGENT
795000,4,3,156.0,12.0,-6.063913,53.106323,E1,premium,Detached,BRANDED_AGENT
975000,3,4,142.0,26.0,-6.260543,53.367819,E2,premium,Detached,BRANDED_AGENT
650000,4,2,306.0,12.0,-6.199366,53.304236,C3,premium,Detached,BRANDED_AGENT
135000,3,1,62.0,11.0,-6.244024,53.317085,D1,premium,Terrace,BRANDED_AGENT
425000,2,2,80.0,14.0,-6.324857,53.309794,F,premium,Duplex,BRANDED_AGENT
280000,2,1,55.0,15.0,-7.864524,51.941923,D1,premium,Apartment,BRANDED_AGENT
750000,3,3,93.0,16.0,-6.251519,53.289111,D2,premium,Terrace,BRANDED_AGENT
645000,3,2,115.0,17.0,-8.990892,53.284021,D2,premium,Apartment,BRANDED_AGENT
199950,2,2,65.0,15.0,-8.769636,53.764647,D1,premium,Apartment,BRANDED_AGENT
485000,4,2,149.0,23.0,-6.347112,53.71731,D1,premium,Terrace,UNBRANDED_AGENT
190000,2,1,81.0,12.0,-6.246738,53.31244,D1,premium,Terrace,BRANDED_AGENT
205000,3,1,75.0,19.0,-6.257336,53.319865,A3,premium,End of Terrace,BRANDED_AGENT
750000,5,3,213.0,12.0,-7.913742,53.420269,C2,premium,Detached,BRANDED_AGENT
1150000,4,4,261.0,23.0,-6.209535,53.369138,B2,premium,Detached,BRANDED_AGENT
385000,3,3,97.0,24.0,-6.358932,53.374213,E1,premium,Semi-D,BRANDED_AGENT
1950000,4,3,261.0,16.0,-7.330608044539844,53.74232411410378,XXX,premium,Detached,PRIVATE_USER
850000,3,2,240.0,15.0,-8.935382,52.707915,G,premium,Bungalow,BRANDED_AGENT
425000,3,1,94.0,20.0,-8.854136,52.716836,C3,premium,End of Terrace,BRANDED_AGENT
440000,4,2,214.0,24.0,-6.252538,53.461173,C3,premium,Detached,BRANDED_AGENT
495000,3,1,85.0,12.0,-6.572949,52.50183,G,premium,Terrace,BRANDED_AGENT
365000,5,3,136.0,15.0,-8.696995,51.632401,D1,premium,Detached,BRANDED_AGENT
